countyFIPS,State,County Name_x,population,2020-06-07 00:00:00,2020-06-14 00:00:00,2020-06-21 00:00:00,2020-06-28 00:00:00,2020-07-05 00:00:00,2020-07-12 00:00:00,2020-07-19 00:00:00,2020-07-26 00:00:00,2020-08-02 00:00:00,2020-08-09 00:00:00,2020-08-16 00:00:00,2020-08-23 00:00:00,2020-08-30 00:00:00,2020-09-06 00:00:00,2020-09-13 00:00:00,2020-09-20 00:00:00,2020-09-27 00:00:00,2020-10-04 00:00:00,2020-10-11 00:00:00,2020-10-18 00:00:00,2020-10-25 00:00:00,2020-11-01 00:00:00,2020-11-08 00:00:00,2020-11-15 00:00:00,2020-11-22 00:00:00,2020-11-29 00:00:00,2020-12-06 00:00:00,2020-12-13 00:00:00,2020-12-20 00:00:00,2020-12-27 00:00:00,2021-01-03 00:00:00
6073,CA,San Diego County ,3338330,63964,71614,84434,105388,129931,158050,184351,205939,223262,237570,249513,260941,273462,288608,302758,316363,330346,343778,358331,372769,388019,406402,432664,467764,519955,580372,661966,772428,910288,1048628,1201382
6075,CA,City and County of San Francisco,881549,19752,21141,22837,25918,29522,34141,39864,45693,50416,55010,59377,63211,66811,70091,72981,75968,78485,80429,81949,83530,85279,88045,92173,97041,103223,110245,120227,132790,146766,158951,172464
6077,CA,San Joaquin County ,762148,9679,13656,19554,28316,41723,56500,72628,88545,100221,109349,116629,123325,128559,132655,135777,138554,141101,143621,146183,148791,152118,155848,160876,167909,177104,189081,210378,242437,275444,306749,336340
6079,CA,San Luis Obispo County ,283111,2406,2826,3557,4608,6078,8395,10577,12482,14140,16068,17934,19364,20878,22143,23043,24183,25331,26258,27479,28491,29383,30672,33613,36943,40887,44545,49311,55905,63872,72163,83098
6081,CA,San Mateo County ,766573,17614,19001,20959,23556,26679,30803,35803,40479,44766,49020,52930,56022,59270,62552,65534,68300,70688,72926,74904,76730,78817,81174,84608,89262,95658,103385,115728,133799,152675,169495,188510
6083,CA,Santa Barbara County ,446499,15400,17773,20928,24982,30150,35692,41161,45676,49243,52418,55208,57447,59550,61649,63484,65018,66383,67623,68825,70144,71503,72665,74368,76888,80221,84296,90031,97952,107954,118802,133997
6085,CA,Santa Clara County ,1927852,23389,25523,28952,34373,41421,51507,63874,75696,86147,97272,108228,117071,125214,133056,139703,145843,151273,156061,161225,166839,173026,179920,190086,204745,224838,251665,295203,350733,410752,465309,523288
6087,CA,Santa Cruz County ,273213,1694,1911,2330,2829,3540,4552,6177,7731,8978,10027,11030,12093,12955,13856,14739,15817,16842,17597,18280,18953,19721,20808,22526,24970,28898,33014,38507,45163,53182,61034,69901
6089,CA,Shasta County ,180080,437,568,834,1170,1583,1945,2345,2891,3321,3666,3900,4113,4266,4508,4785,5503,7161,9382,11742,13208,14583,17083,21135,26552,32909,38347,43561,48665,52028,55408,59533
6091,CA,Sierra County ,3005,7,7,7,7,7,7,7,10,17,34,38,42,42,42,42,42,42,42,42,42,42,44,58,90,113,125,134,154,163,187,225
6093,CA,Siskiyou County ,43539,94,153,186,217,245,371,452,557,643,729,801,839,919,991,1035,1066,1078,1127,1177,1220,1348,1563,1873,2430,3442,4560,5266,5940,6459,6837,7320
6095,CA,Solano County ,447643,4890,5928,7882,10743,14083,18345,22816,26570,29433,32033,34241,36184,38174,39725,41107,42708,44030,45467,47273,49144,51061,53806,57604,62085,68103,74686,83393,96009,111913,126901,142885
6097,CA,Sonoma County ,494336,4823,5734,6902,8822,11355,14418,18116,21994,25472,29005,33215,37174,40940,44249,47035,49569,52710,55936,59488,62566,65894,69259,73147,77283,81857,88018,96477,107232,118741,129467,140966
6099,CA,Stanislaus County ,550660,7434,10514,15457,22676,31651,43989,57300,69241,79282,87950,95045,100541,105026,108410,111034,113303,115007,116619,118530,120572,122804,125310,129123,135260,144283,155214,171092,192280,214084,233800,253073
6101,CA,Sutter County ,96971,412,595,793,1106,1796,2763,3759,4778,5872,6799,7756,8659,9548,10258,10875,11390,11708,11990,12246,12469,12823,13360,14251,16579,20234,24653,29728,34903,39697,43631,46796
6103,CA,Tehama County ,65084,93,177,328,559,748,932,1239,1607,1901,2132,2384,2705,2956,3165,3318,3562,3982,4485,4935,5503,6226,6869,7634,8896,10612,12235,14100,16343,18271,20273,22415
6105,CA,Trinity County ,12285,12,14,14,14,14,22,28,31,42,47,73,104,120,128,139,140,140,163,178,202,242,318,485,726,1056,1305,1496,1676,1834,1947,2011
6107,CA,Tulare County ,466195,19273,23124,27480,33159,40013,48554,58203,67752,76189,83628,90362,95700,100451,104070,107145,109969,112877,115641,118360,120831,123463,126179,129887,134722,142121,151752,165357,185569,207081,225589,246514
6109,CA,Tuolumne County ,54478,48,68,85,215,377,553,763,943,1066,1110,1167,1249,1408,1497,1551,1597,1621,1638,1702,1803,1912,2091,2718,4189,6067,7571,9127,12071,15831,19169,20847
