countyFIPS,State,County Name_x,population,2020-06-07 00:00:00,2020-06-14 00:00:00,2020-06-21 00:00:00,2020-06-28 00:00:00,2020-07-05 00:00:00,2020-07-12 00:00:00,2020-07-19 00:00:00,2020-07-26 00:00:00,2020-08-02 00:00:00,2020-08-09 00:00:00,2020-08-16 00:00:00,2020-08-23 00:00:00,2020-08-30 00:00:00,2020-09-06 00:00:00,2020-09-13 00:00:00,2020-09-20 00:00:00,2020-09-27 00:00:00,2020-10-04 00:00:00,2020-10-11 00:00:00,2020-10-18 00:00:00,2020-10-25 00:00:00,2020-11-01 00:00:00,2020-11-08 00:00:00,2020-11-15 00:00:00,2020-11-22 00:00:00,2020-11-29 00:00:00,2020-12-06 00:00:00,2020-12-13 00:00:00,2020-12-20 00:00:00,2020-12-27 00:00:00,2021-01-03 00:00:00
16007,ID,Bear Lake County ,6125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,7,7,7,7,7,7,7,7,11,14,14,14
16009,ID,Benewah County ,9298,0,0,0,0,0,0,0,0,0,0,6,7,7,13,14,18,21,21,21,21,21,21,21,21,21,21,21,26,28,28,28
16011,ID,Bingham County ,46811,0,0,0,0,0,7,7,14,14,14,14,24,33,40,60,70,70,70,70,77,107,145,172,182,189,189,206,220,253,294,317
16013,ID,Blaine County ,23021,35,35,35,35,35,35,35,40,42,42,42,42,42,42,42,42,42,42,42,42,45,49,49,49,49,49,49,61,72,84,88
16015,ID,Boise County ,7831,0,0,0,0,0,0,0,0,5,7,7,7,7,7,7,7,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14
16017,ID,Bonner County ,45739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,13,14,19,21,45,66,80,84,90
16019,ID,Bonneville County ,119062,0,0,7,7,7,7,7,7,10,19,32,42,60,76,90,100,111,117,136,152,177,239,277,294,366,409,495,598,683,743,808
16021,ID,Boundary County ,12245,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,7,7,7,7,7,7,7,7,7,7,16,27,33,39,42,48
16023,ID,Butte County ,2597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
16025,ID,Camas County ,1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16027,ID,Canyon County ,229849,42,42,42,42,42,63,108,164,241,312,369,431,503,575,615,674,703,712,721,733,753,766,816,884,936,986,1038,1169,1338,1430,1518
16029,ID,Caribou County ,7155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,19,28,28,33,35,59,70,70,76,76,70,70
16031,ID,Cassia County ,24030,7,7,7,7,7,7,7,7,7,7,7,7,22,28,33,35,35,41,53,56,56,60,73,93,110,120,126,136,135,135,140
16033,ID,Clark County ,845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16035,ID,Clearwater County ,8756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,33,42,42
16037,ID,Custer County ,4315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,13,14,14
16039,ID,Elmore County ,27511,14,14,14,14,14,14,14,14,17,21,21,21,21,21,21,21,21,23,28,28,28,28,28,28,37,42,48,49,59,63,63
16041,ID,Franklin County ,13876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,14,17,25,28,33,45,49,56,56,56
16043,ID,Fremont County ,13099,0,0,0,0,0,0,0,0,0,0,0,3,9,14,19,21,21,21,21,21,23,28,34,46,53,64,70,80,84,91,96
16045,ID,Gem County ,18112,0,0,0,0,0,0,0,0,0,5,7,10,14,14,14,14,14,22,28,28,33,35,35,35,35,35,39,62,106,121,143
16047,ID,Gooding County ,15179,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,14,31,57,63,63,63,63,69,92,107,119,125
16049,ID,Idaho County ,16667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,21,33,41,75,96,105,105,105
16051,ID,Jefferson County ,29871,0,0,0,0,0,0,0,6,7,7,7,7,7,7,7,7,10,18,21,21,21,24,33,35,61,73,77,77,92,98,102
16053,ID,Jerome County ,24412,14,17,21,23,34,35,40,42,42,42,42,42,42,42,42,47,49,49,49,49,52,62,63,66,80,84,96,102,105,107,112
16055,ID,Kootenai County ,165697,0,0,4,7,7,7,7,7,51,103,124,156,198,209,219,230,238,245,294,316,327,348,375,416,469,523,593,677,714,736,809
16057,ID,Latah County ,40108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,7,15,21,21,21,23,40
16059,ID,Lemhi County ,8027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,33,46,49,54,56,62,63,63
16061,ID,Lewis County ,3838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,14,19,21,21,21,21,24,28,28,35,35,35
16063,ID,Lincoln County ,5366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,39,49,55,56,56,56,56,56,63
16065,ID,Madison County ,39907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,12,14,14,17,25,43,49,49,52,58,69,70,80,115
16067,ID,Minidoka County ,21039,0,0,0,0,0,0,0,7,12,14,14,14,14,22,39,49,54,56,56,56,56,60,68,77,94,102,126,140,151,154,158
16069,ID,Nez Perce County ,40408,133,133,133,133,133,133,133,133,133,133,133,133,133,133,137,156,168,168,168,168,168,168,171,185,189,213,251,276,287,296,308
16071,ID,Oneida County ,4531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,14
16073,ID,Owyhee County ,11823,0,0,0,0,0,0,0,0,3,14,21,28,32,35,35,35,35,35,35,35,35,35,35,35,35,35,70,111,126,127,137
16075,ID,Payette County ,23951,14,14,14,14,14,14,14,14,14,14,20,27,28,28,28,39,50,62,63,67,70,70,76,87,91,97,105,127,148,154,166
16077,ID,Power County ,7681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,9,14,14,14,14,25,28,28,28,28,28,30
16079,ID,Shoshone County ,12882,0,0,0,0,0,0,0,0,3,14,17,48,90,108,117,123,126,126,126,131,139,140,140,147,153,154,159,161,161,161,180
16081,ID,Teton County ,12142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,12,14,14,14,14,14,14,14,14,14,14
16083,ID,Twin Falls County ,86878,161,173,175,175,175,175,175,182,208,224,227,231,237,241,245,245,252,264,278,289,305,333,367,454,511,606,677,720,759,779,790
16085,ID,Valley County ,11392,0,0,0,0,0,0,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,21,21
16087,ID,Washington County ,10194,0,0,0,0,0,12,14,14,14,20,21,21,26,28,28,29,40,42,44,49,53,56,56,59,68,73,83,93,98,98,100
0,MT,Statewide Unallocated,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
30001,MT,Beaverhead County ,9453,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,7,7,7,7,7,7,7,10,14,21,21,21,29,51,56,56
30003,MT,Big Horn County ,13319,3,8,19,21,24,28,35,35,48,83,97,102,105,111,125,147,152,158,177,215,237,260,278,292,338,350,350,381,399,399,405
30005,MT,Blaine County ,6681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,41,54,66,112,123,126,136,143,154,154
30007,MT,Broadwater County ,6237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,7,13,14,10
30009,MT,Carbon County ,10725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,12,31,42,42,46,49,54,56
30011,MT,Carter County ,1252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,16,21,21,26,28,28,28,28
30013,MT,Cascade County ,81366,14,14,14,14,14,14,14,14,14,19,28,34,35,35,35,35,35,38,42,42,42,83,155,305,374,481,521,557,575,635,710
30015,MT,Chouteau County ,5635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,20,21,21,21,22,28
30017,MT,Custer County ,11402,0,0,0,0,0,0,0,0,10,14,14,14,14,14,14,14,14,14,14,14,20,21,33,40,42,42,44,55,56,56,62
30019,MT,Daniels County ,1690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,21,21,21,25,28,33,35,35,35
30021,MT,Dawson County ,8613,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,7,7,7,7,15,28,34,52,56,58,87,110,142,154,168
30023,MT,Deer Lodge County ,9140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,35,61,69,70,70,70,70,70,66
30025,MT,Fallon County ,2846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,7,7,13
30027,MT,Fergus County ,11050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,7,7,9,14,14,14,14,14,16,26,70,90,91,91
30029,MT,Flathead County ,103806,14,14,14,14,14,14,14,14,14,14,19,21,32,55,75,97,114,130,145,161,167,186,189,189,195,246,273,303,336,382,392
30031,MT,Gallatin County ,114434,7,7,7,7,7,7,7,7,14,21,21,21,21,21,21,26,28,28,28,32,41,47,66,84,99,129,161,189,210,242,261
30033,MT,Garfield County ,1258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,14,14,14,14,14
30035,MT,Glacier County ,13753,0,0,0,0,0,0,0,3,7,7,7,7,7,7,7,7,7,7,7,11,54,94,114,121,126,132,144,153,154,154,159
30037,MT,Golden Valley County ,821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30039,MT,Granite County ,3379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,7,7,13,14,14
30041,MT,Hill County ,16484,0,0,0,0,0,0,0,0,0,6,14,14,14,14,15,21,21,21,33,57,108,137,140,149,179,192,196,201,210,238,238
30043,MT,Jefferson County ,12221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,14,21,27
30045,MT,Judith Basin County ,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30047,MT,Lake County ,30458,0,0,0,0,0,0,0,3,7,7,7,7,7,7,7,7,7,7,7,7,10,29,48,51,68,85,94,105,112,112,112
30049,MT,Lewis and Clark County ,69432,0,0,0,0,0,0,3,7,7,7,13,14,14,19,21,21,21,21,21,21,31,39,46,53,65,77,113,165,204,249,267
30051,MT,Liberty County ,2337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,7,7,7,7,7,7
30053,MT,Lincoln County ,19980,7,7,7,7,7,7,7,7,12,14,14,14,14,14,19,21,21,21,21,21,21,25,41,42,48,63,63,63,65,64,63
30055,MT,McCone County ,1664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30057,MT,Madison County ,8600,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,14,14,21,21,21,21,21
30059,MT,Meagher County ,1862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,14,14,14,14,18,28,35,43,49,49,49,49,49,49,49
30061,MT,Mineral County ,4397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30063,MT,Missoula County ,119600,0,0,0,0,0,0,0,0,0,2,9,16,21,21,21,21,21,21,28,41,58,99,172,205,231,290,304,315,317,343,373
30065,MT,Musselshell County ,4633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,7,7,7,7,11,14,14,14,18,40,42,48,49,49
30067,MT,Park County ,16606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,21,25,28,29,39
30069,MT,Petroleum County ,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,7,7,7
30071,MT,Phillips County ,3954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,28,33,39,45,59,67,83,84
30073,MT,Pondera County ,5911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,7,7,7,15,21,21,21,21,21,21
30075,MT,Powder River County ,1682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,31,35,35,35,35,35,35,35,35,35,35
30077,MT,Powell County ,6890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,20,21,25,34,35,35
30079,MT,Prairie County ,1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,14,14,14
30081,MT,Ravalli County ,43806,0,0,0,0,0,2,7,7,7,7,12,14,14,14,14,14,14,14,14,22,28,28,28,30,61,86,102,105,114,167,179
30083,MT,Richland County ,10803,0,0,0,0,0,0,0,0,3,12,14,14,14,14,14,14,14,14,14,14,20,35,41,44,49,49,58,63,63,63,75
30085,MT,Roosevelt County ,11004,0,0,0,0,0,0,0,0,0,0,0,6,7,7,7,7,16,37,60,87,117,166,213,241,259,270,288,294,294,294,330
30087,MT,Rosebud County ,8937,0,0,0,3,7,7,7,7,7,7,7,11,14,29,40,72,126,133,133,140,143,147,147,149,160,163,172,180,184,194,196
30089,MT,Sanders County ,12113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,7,7,7,12,14,14,14,14,16,21,21,21,21,23
30091,MT,Sheridan County ,3309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,19,21,24,34,35
30093,MT,Silver Bow County ,34915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,44,84,115,142,207,214,232,238,238
30095,MT,Stillwater County ,9642,0,0,0,0,0,0,0,0,0,2,7,7,13,14,14,14,14,14,20,21,21,21,24,28,28,28,45,55,56,56,56
30097,MT,Sweet Grass County ,3737,0,0,0,0,0,0,0,5,7,7,7,7,7,7,7,7,7,11,14,14,14,14,14,14,20,23,34,35,35,41,42
30099,MT,Teton County ,6147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,9,20,21,21,21,21,21,31
30101,MT,Toole County ,4736,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,56,56,56,56,56,56,56,56,56
