countyFIPS,State,County Name_x,population,2020-06-07_cases,2020-06-14_cases,2020-06-21_cases,2020-06-28_cases,2020-07-05_cases,2020-07-12_cases,2020-07-19_cases,2020-07-26_cases,2020-08-02_cases,2020-08-09_cases,2020-08-16_cases,2020-08-23_cases,2020-08-30_cases,2020-09-06_cases,2020-09-13_cases,2020-09-20_cases,2020-09-27_cases,2020-10-04_cases,2020-10-11_cases,2020-10-18_cases,2020-10-25_cases,2020-11-01_cases,2020-11-08_cases,2020-11-15_cases,2020-11-22_cases,2020-11-29_cases,2020-12-06_cases,2020-12-13_cases,2020-12-20_cases,2020-12-27_cases,2021-01-03_cases
6059,CA,Orange County ,3175692,37837.0,11174.0,18999.0,33612.0,40879.0,38828.0,38246.0,28146.0,20626.0,17442.0,12519.0,10030.0,9243.0,7911.0,7286.0,7861.0,9307.0,9565.0,8987.0,9607.0,10776.0,11055.0,15763.0,23131.0,40563.0,55395.0,77841.0,119893.0,150438.0,144947.0,145040.0
6061,CA,Placer County ,398329,3458.766666666667,797.0,978.0,1286.0,1733.0,2114.0,2372.0,2135.0,2025.0,1905.0,1438.0,1227.0,1202.0,1273.0,956.0,987.0,707.0,750.0,976.0,1074.0,1672.0,2156.0,2823.0,3873.0,5737.0,7822.0,10049.0,11211.0,11750.0,10294.0,10441.0
6063,CA,Plumas County ,18807,112.26666666666667,5.0,6.0,24.0,30.0,33.0,46.0,46.0,14.0,23.0,10.0,6.0,5.0,27.0,20.0,16.0,2.0,12.0,7.0,29.0,95.0,134.0,161.0,223.0,261.0,286.0,364.0,503.0,409.0,309.0,262.0
6065,CA,Riverside County ,2470546,43343.7,14489.0,21201.0,31521.0,35331.0,35344.0,36810.0,32477.0,26835.0,21303.0,16367.0,13804.0,11434.0,9201.0,8783.0,10146.0,11058.0,13109.0,13130.0,13576.0,14693.0,16727.0,23519.0,30846.0,50424.0,64425.0,96051.0,134727.0,169320.0,163507.0,160153.0
6067,CA,Sacramento County ,1552058,15589.766666666666,1754.0,3575.0,6835.0,10185.0,12625.0,14328.0,14682.0,11863.0,10744.0,10716.0,9921.0,8757.0,7851.0,7295.0,7759.0,6663.0,5107.0,4563.0,4824.0,5982.0,7582.0,12502.0,18955.0,23770.0,26608.0,38225.0,47755.0,45922.0,40334.0,40011.0
6069,CA,San Benito County ,62808,876.9333333333333,254.0,348.0,348.0,438.0,633.0,713.0,723.0,636.0,586.0,595.0,887.0,764.0,660.0,357.0,351.0,301.0,136.0,110.0,158.0,202.0,243.0,454.0,631.0,844.0,1123.0,1959.0,2351.0,3162.0,3119.0,3222.0
6071,CA,San Bernardino County ,2180085,47657.86666666667,11997.0,19001.0,29516.0,34035.0,35067.0,36992.0,33193.0,24892.0,22436.0,18108.0,14661.0,11103.0,9268.0,7446.0,9004.0,11373.0,13571.0,14405.0,15613.0,17742.0,19894.0,30208.0,44473.0,71260.0,83223.0,116062.0,162013.0,183633.0,172125.0,157422.0
6073,CA,San Diego County ,3338330,37913.933333333334,7650.0,12820.0,20954.0,24543.0,28119.0,26301.0,21588.0,17323.0,14308.0,11943.0,11428.0,12521.0,15146.0,14150.0,13605.0,13983.0,13432.0,14553.0,14438.0,15250.0,18383.0,26262.0,35100.0,52191.0,60417.0,81594.0,110462.0,137860.0,138340.0,152754.0
6075,CA,City and County of San Francisco,881549,5090.4,1389.0,1696.0,3081.0,3604.0,4619.0,5723.0,5829.0,4723.0,4594.0,4367.0,3834.0,3600.0,3280.0,2890.0,2987.0,2517.0,1944.0,1520.0,1581.0,1749.0,2766.0,4128.0,4868.0,6182.0,7022.0,9982.0,12563.0,13976.0,12185.0,13513.0
6077,CA,San Joaquin County ,762148,10888.7,3977.0,5898.0,8762.0,13407.0,14777.0,16128.0,15917.0,11676.0,9128.0,7280.0,6696.0,5234.0,4096.0,3122.0,2777.0,2547.0,2520.0,2562.0,2608.0,3327.0,3730.0,5028.0,7033.0,9195.0,11977.0,21297.0,32059.0,33007.0,31305.0,29591.0
6079,CA,San Luis Obispo County ,283111,2689.733333333333,420.0,731.0,1051.0,1470.0,2317.0,2182.0,1905.0,1658.0,1928.0,1866.0,1430.0,1514.0,1265.0,900.0,1140.0,1148.0,927.0,1221.0,1012.0,892.0,1289.0,2941.0,3330.0,3944.0,3658.0,4766.0,6594.0,7967.0,8291.0,10935.0
6081,CA,San Mateo County ,766573,5696.533333333334,1387.0,1958.0,2597.0,3123.0,4124.0,5000.0,4676.0,4287.0,4254.0,3910.0,3092.0,3248.0,3282.0,2982.0,2766.0,2388.0,2238.0,1978.0,1826.0,2087.0,2357.0,3434.0,4654.0,6396.0,7727.0,12343.0,18071.0,18876.0,16820.0,19015.0
6083,CA,Santa Barbara County ,446499,3953.233333333333,2373.0,3155.0,4054.0,5168.0,5542.0,5469.0,4515.0,3567.0,3175.0,2790.0,2239.0,2103.0,2099.0,1835.0,1534.0,1365.0,1240.0,1202.0,1319.0,1359.0,1162.0,1703.0,2520.0,3333.0,4075.0,5735.0,7921.0,10002.0,10848.0,15195.0
6085,CA,Santa Clara County ,1927852,16663.3,2134.0,3429.0,5421.0,7048.0,10086.0,12367.0,11822.0,10451.0,11125.0,10956.0,8843.0,8143.0,7842.0,6647.0,6140.0,5430.0,4788.0,5164.0,5614.0,6187.0,6894.0,10166.0,14659.0,20093.0,26827.0,43538.0,55530.0,60019.0,54557.0,57979.0
6087,CA,Santa Cruz County ,273213,2273.5666666666666,217.0,419.0,499.0,711.0,1012.0,1625.0,1554.0,1247.0,1049.0,1003.0,1063.0,862.0,901.0,883.0,1078.0,1025.0,755.0,683.0,673.0,768.0,1087.0,1718.0,2444.0,3928.0,4116.0,5493.0,6656.0,8019.0,7852.0,8867.0
6089,CA,Shasta County ,180080,1969.8666666666666,131.0,266.0,336.0,413.0,362.0,400.0,546.0,430.0,345.0,234.0,213.0,153.0,242.0,277.0,718.0,1658.0,2221.0,2360.0,1466.0,1375.0,2500.0,4052.0,5417.0,6357.0,5438.0,5214.0,5104.0,3363.0,3380.0,4125.0
6091,CA,Sierra County ,3005,7.266666666666667,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,17.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,32.0,23.0,12.0,9.0,20.0,9.0,24.0,38.0
6093,CA,Siskiyou County ,43539,240.86666666666667,59.0,33.0,31.0,28.0,126.0,81.0,105.0,86.0,86.0,72.0,38.0,80.0,72.0,44.0,31.0,12.0,49.0,50.0,43.0,128.0,215.0,310.0,557.0,1012.0,1118.0,706.0,674.0,519.0,378.0,483.0
6095,CA,Solano County ,447643,4599.833333333333,1038.0,1954.0,2861.0,3340.0,4262.0,4471.0,3754.0,2863.0,2600.0,2208.0,1943.0,1990.0,1551.0,1382.0,1601.0,1322.0,1437.0,1806.0,1871.0,1917.0,2745.0,3798.0,4481.0,6018.0,6583.0,8707.0,12616.0,15904.0,14988.0,15984.0
6097,CA,Sonoma County ,494336,4538.1,911.0,1168.0,1920.0,2533.0,3063.0,3698.0,3878.0,3478.0,3533.0,4210.0,3959.0,3766.0,3309.0,2786.0,2534.0,3141.0,3226.0,3552.0,3078.0,3328.0,3365.0,3888.0,4136.0,4574.0,6161.0,8459.0,10755.0,11509.0,10726.0,11499.0
6099,CA,Stanislaus County ,550660,8187.966666666666,3080.0,4943.0,7219.0,8975.0,12338.0,13311.0,11941.0,10041.0,8668.0,7095.0,5496.0,4485.0,3384.0,2624.0,2269.0,1704.0,1612.0,1911.0,2042.0,2232.0,2506.0,3813.0,6137.0,9023.0,10931.0,15878.0,21188.0,21804.0,19716.0,19273.0
6101,CA,Sutter County ,96971,1546.1333333333334,183.0,198.0,313.0,690.0,967.0,996.0,1019.0,1094.0,927.0,957.0,903.0,889.0,710.0,617.0,515.0,318.0,282.0,256.0,223.0,354.0,537.0,891.0,2328.0,3655.0,4419.0,5075.0,5175.0,4794.0,3934.0,3165.0
6103,CA,Tehama County ,65084,744.0666666666667,84.0,151.0,231.0,189.0,184.0,307.0,368.0,294.0,231.0,252.0,321.0,251.0,209.0,153.0,244.0,420.0,503.0,450.0,568.0,723.0,643.0,765.0,1262.0,1716.0,1623.0,1865.0,2243.0,1928.0,2002.0,2142.0
6105,CA,Trinity County ,12285,66.63333333333334,2.0,0.0,0.0,0.0,8.0,6.0,3.0,11.0,5.0,26.0,31.0,16.0,8.0,11.0,1.0,0.0,23.0,15.0,24.0,40.0,76.0,167.0,241.0,330.0,249.0,191.0,180.0,158.0,113.0,64.0
6107,CA,Tulare County ,466195,7574.7,3851.0,4356.0,5679.0,6854.0,8541.0,9649.0,9549.0,8437.0,7439.0,6734.0,5338.0,4751.0,3619.0,3075.0,2824.0,2908.0,2764.0,2719.0,2471.0,2632.0,2716.0,3708.0,4835.0,7399.0,9631.0,13605.0,20212.0,21512.0,18508.0,20925.0
6109,CA,Tuolumne County ,54478,693.3,20.0,17.0,130.0,162.0,176.0,210.0,180.0,123.0,44.0,57.0,82.0,159.0,89.0,54.0,46.0,24.0,17.0,64.0,101.0,109.0,179.0,627.0,1471.0,1878.0,1504.0,1556.0,2944.0,3760.0,3338.0,1678.0
6111,CA,Ventura County ,846006,9859.533333333333,2426.0,3615.0,6478.0,7495.0,7457.0,7770.0,6716.0,5991.0,4897.0,4436.0,4350.0,4040.0,3528.0,3458.0,3703.0,3112.0,2837.0,2657.0,2432.0,2780.0,3140.0,5120.0,7315.0,11397.0,14129.0,22479.0,27711.0,35222.0,31310.0,47785.0
6113,CA,Yolo County ,220500,2047.5666666666666,290.0,793.0,1214.0,1546.0,1995.0,1981.0,1790.0,1394.0,1224.0,1174.0,1007.0,1064.0,961.0,696.0,449.0,393.0,511.0,644.0,775.0,900.0,854.0,1686.0,2328.0,3696.0,4268.0,4523.0,5921.0,6273.0,5422.0,5655.0
6115,CA,Yuba County ,78668,928.1666666666666,26.0,39.0,140.0,339.0,488.0,680.0,711.0,735.0,702.0,682.0,614.0,631.0,547.0,415.0,314.0,259.0,235.0,244.0,287.0,337.0,417.0,673.0,959.0,1639.0,2141.0,2592.0,2842.0,3066.0,2704.0,2387.0
