countyFIPS,State,County Name_x,population,Day,Weekly_cases_per_million
30023,MT,Deer Lodge County ,9140,2020-06-07,2297.592997811816
30081,MT,Ravalli County ,43806,2020-06-07,2237.1364653243845
41063,OR,Wallowa County ,7208,2020-06-07,2219.7558268590456
30093,MT,Silver Bow County ,34915,2020-06-07,2205.3558642417297
41029,OR,Jackson County ,220944,2020-06-07,2181.5482656238687
6093,CA,Siskiyou County ,43539,2020-06-07,2158.983899492409
41009,OR,Columbia County ,52354,2020-06-07,2139.2825763074457
41015,OR,Curry County ,22925,2020-06-07,2137.4045801526718
56035,WY,Sublette County ,9831,2020-06-07,2136.100091547147
16011,ID,Bingham County ,46811,2020-06-07,2114.887526436094
16043,ID,Fremont County ,13099,2020-06-07,1984.8843423162073
16051,ID,Jefferson County ,29871,2020-06-07,1975.1598540390346
30083,MT,Richland County ,10803,2020-06-07,1943.9044709802831
53065,WA,Stevens County ,45723,2020-06-07,1902.762285939243
41033,OR,Josephine County ,87487,2020-06-07,1840.2734120497903
30049,MT,Lewis and Clark County ,69432,2020-06-07,1800.3226178131122
41037,OR,Lake County ,7869,2020-06-07,1779.1333079171432
41019,OR,Douglas County ,110980,2020-06-07,1775.0946116417374
6005,CA,Amador County ,39752,2020-06-07,1760.9176896759911
53013,WA,Columbia County ,3985,2020-06-07,1756.5872020075283
53059,WA,Skamania County ,12083,2020-06-07,1737.9789787304476
41013,OR,Crook County ,24404,2020-06-07,1721.0293394525488
30043,MT,Jefferson County ,12221,2020-06-07,1718.3536535471728
53027,WA,Grays Harbor County ,75061,2020-06-07,1691.9572081373817
6035,CA,Lassen County ,30573,2020-06-07,1668.138553625748
6063,CA,Plumas County ,18807,2020-06-07,1595.1507417450948
41061,OR,Union County ,26835,2020-06-07,1565.1201788708777
41057,OR,Tillamook County ,27036,2020-06-07,1553.484243231247
53051,WA,Pend Oreille County ,13724,2020-06-07,1530.166132322938
30065,MT,Musselshell County ,4633,2020-06-07,1510.9000647528599
30013,MT,Cascade County ,81366,2020-06-07,1462.5273455743184
41039,OR,Lane County ,382067,2020-06-07,1442.155433471093
6103,CA,Tehama County ,65084,2020-06-07,1428.9226230717227
30047,MT,Lake County ,30458,2020-06-07,1378.9480596230876
53043,WA,Lincoln County ,10939,2020-06-07,1279.824481214005
16049,ID,Idaho County ,16667,2020-06-07,1259.97480050399
16085,ID,Valley County ,11392,2020-06-07,1228.9325842696628
16057,ID,Latah County ,40108,2020-06-07,1221.7014062032513
56045,WY,Weston County ,6927,2020-06-07,1010.5384726432799
6105,CA,Trinity County ,12285,2020-06-07,976.8009768009769
41023,OR,Grant County ,7199,2020-06-07,972.3572718433117
41025,OR,Harney County ,7393,2020-06-07,946.84160692547
16017,ID,Bonner County ,45739,2020-06-07,918.2535691641706
53019,WA,Ferry County ,7627,2020-06-07,917.7920545430707
6109,CA,Tuolumne County ,54478,2020-06-07,881.0896141561731
16059,ID,Lemhi County ,8027,2020-06-07,872.0568082720818
56031,WY,Platte County ,8393,2020-06-07,834.0283569641367
30001,MT,Beaverhead County ,9453,2020-06-07,740.5056595789696
30095,MT,Stillwater County ,9642,2020-06-07,725.990458411118
6049,CA,Modoc County ,8841,2020-06-07,678.6562606040042
30087,MT,Rosebud County ,8937,2020-06-07,671.366230278617
30027,MT,Fergus County ,11050,2020-06-07,633.4841628959275
56029,WY,Park County ,29194,2020-06-07,479.550592587518
41001,OR,Baker County ,16124,2020-06-07,434.13545026048126
30041,MT,Hill County ,16484,2020-06-07,424.65421014316917
16007,ID,Bear Lake County ,6125,2020-06-07,0.0
16015,ID,Boise County ,7831,2020-06-07,0.0
16021,ID,Boundary County ,12245,2020-06-07,0.0
16023,ID,Butte County ,2597,2020-06-07,0.0
16033,ID,Clark County ,845,2020-06-07,0.0
16035,ID,Clearwater County ,8756,2020-06-07,0.0
16061,ID,Lewis County ,3838,2020-06-07,0.0
16071,ID,Oneida County ,4531,2020-06-07,0.0
16079,ID,Shoshone County ,12882,2020-06-07,0.0
30005,MT,Blaine County ,6681,2020-06-07,0.0
30011,MT,Carter County ,1252,2020-06-07,0.0
30015,MT,Chouteau County ,5635,2020-06-07,0.0
30017,MT,Custer County ,11402,2020-06-07,0.0
30019,MT,Daniels County ,1690,2020-06-07,0.0
30021,MT,Dawson County ,8613,2020-06-07,0.0
30025,MT,Fallon County ,2846,2020-06-07,0.0
30033,MT,Garfield County ,1258,2020-06-07,0.0
30039,MT,Granite County ,3379,2020-06-07,0.0
30045,MT,Judith Basin County ,2007,2020-06-07,0.0
30055,MT,McCone County ,1664,2020-06-07,0.0
30061,MT,Mineral County ,4397,2020-06-07,0.0
30069,MT,Petroleum County ,487,2020-06-07,0.0
30071,MT,Phillips County ,3954,2020-06-07,0.0
30075,MT,Powder River County ,1682,2020-06-07,0.0
30077,MT,Powell County ,6890,2020-06-07,0.0
30079,MT,Prairie County ,1077,2020-06-07,0.0
30089,MT,Sanders County ,12113,2020-06-07,0.0
30091,MT,Sheridan County ,3309,2020-06-07,0.0
30097,MT,Sweet Grass County ,3737,2020-06-07,0.0
30099,MT,Teton County ,6147,2020-06-07,0.0
30103,MT,Treasure County ,696,2020-06-07,0.0
30105,MT,Valley County ,7396,2020-06-07,0.0
30109,MT,Wibaux County ,969,2020-06-07,0.0
41021,OR,Gilliam County ,1912,2020-06-07,0.0
