countyFIPS,County Name_x,State,StateFIPS_cases,population,date,deaths,deaths_per_million
6069,San Benito County ,CA,6,62808,2020-06-02,2,31.843077314991724
6071,San Bernardino County ,CA,6,2180085,2020-06-02,225,103.2069850487481
6073,San Diego County ,CA,6,3338330,2020-06-02,301,90.16484290049216
6075,City and County of San Francisco,CA,6,881549,2020-06-02,48,54.44961085543742
6077,San Joaquin County ,CA,6,762148,2020-06-02,39,51.17116360601877
6079,San Luis Obispo County ,CA,6,283111,2020-06-02,1,3.532183489867932
6081,San Mateo County ,CA,6,766573,2020-06-02,93,121.3191698637964
6083,Santa Barbara County ,CA,6,446499,2020-06-02,14,31.35505342677139
6085,Santa Clara County ,CA,6,1927852,2020-06-02,143,74.17581847569211
6087,Santa Cruz County ,CA,6,273213,2020-06-02,2,7.320295886359727
6089,Shasta County ,CA,6,180080,2020-06-02,4,22.21235006663705
6091,Sierra County ,CA,6,3005,2020-06-02,0,0.0
6093,Siskiyou County ,CA,6,43539,2020-06-02,0,0.0
6095,Solano County ,CA,6,447643,2020-06-02,21,46.912383305446525
6097,Sonoma County ,CA,6,494336,2020-06-02,3,6.068746763335059
6099,Stanislaus County ,CA,6,550660,2020-06-02,32,58.1120836814005
6101,Sutter County ,CA,6,96971,2020-06-02,2,20.62472285528663
6103,Tehama County ,CA,6,65084,2020-06-02,1,15.364759387867984
6105,Trinity County ,CA,6,12285,2020-06-02,0,0.0
6107,Tulare County ,CA,6,466195,2020-06-02,90,193.05226353779
6109,Tuolumne County ,CA,6,54478,2020-06-02,0,0.0
6111,Ventura County ,CA,6,846006,2020-06-02,33,39.00681555449961
6113,Yolo County ,CA,6,220500,2020-06-02,24,108.843537414966
6115,Yuba County ,CA,6,78668,2020-06-02,1,12.711648955102456
0,Statewide Unallocated,ID,16,0,2020-06-02,0,
16001,Ada County ,ID,16,481587,2020-06-02,22,45.68229624138525
16003,Adams County ,ID,16,4294,2020-06-02,0,0.0
16005,Bannock County ,ID,16,87808,2020-06-02,1,11.388483965014577
16007,Bear Lake County ,ID,16,6125,2020-06-02,0,0.0
16009,Benewah County ,ID,16,9298,2020-06-02,0,0.0
16011,Bingham County ,ID,16,46811,2020-06-02,0,0.0
16013,Blaine County ,ID,16,23021,2020-06-02,5,217.19299769775424
16015,Boise County ,ID,16,7831,2020-06-02,0,0.0
16017,Bonner County ,ID,16,45739,2020-06-02,0,0.0
16019,Bonneville County ,ID,16,119062,2020-06-02,0,0.0
16021,Boundary County ,ID,16,12245,2020-06-02,0,0.0
16023,Butte County ,ID,16,2597,2020-06-02,0,0.0
16025,Camas County ,ID,16,1106,2020-06-02,0,0.0
16027,Canyon County ,ID,16,229849,2020-06-02,6,26.10409442721091
16029,Caribou County ,ID,16,7155,2020-06-02,0,0.0
16031,Cassia County ,ID,16,24030,2020-06-02,1,41.61464835622139
16033,Clark County ,ID,16,845,2020-06-02,0,0.0
16035,Clearwater County ,ID,16,8756,2020-06-02,0,0.0
16037,Custer County ,ID,16,4315,2020-06-02,0,0.0
16039,Elmore County ,ID,16,27511,2020-06-02,2,72.69819344989277
16041,Franklin County ,ID,16,13876,2020-06-02,0,0.0
16043,Fremont County ,ID,16,13099,2020-06-02,0,0.0
16045,Gem County ,ID,16,18112,2020-06-02,0,0.0
16047,Gooding County ,ID,16,15179,2020-06-02,0,0.0
16049,Idaho County ,ID,16,16667,2020-06-02,0,0.0
16051,Jefferson County ,ID,16,29871,2020-06-02,0,0.0
16053,Jerome County ,ID,16,24412,2020-06-02,2,81.92692118630181
16055,Kootenai County ,ID,16,165697,2020-06-02,0,0.0
16057,Latah County ,ID,16,40108,2020-06-02,0,0.0
16059,Lemhi County ,ID,16,8027,2020-06-02,0,0.0
16061,Lewis County ,ID,16,3838,2020-06-02,0,0.0
16063,Lincoln County ,ID,16,5366,2020-06-02,0,0.0
16065,Madison County ,ID,16,39907,2020-06-02,0,0.0
16067,Minidoka County ,ID,16,21039,2020-06-02,0,0.0
16069,Nez Perce County ,ID,16,40408,2020-06-02,19,470.20392001583843
16071,Oneida County ,ID,16,4531,2020-06-02,0,0.0
16073,Owyhee County ,ID,16,11823,2020-06-02,0,0.0
16075,Payette County ,ID,16,23951,2020-06-02,2,83.50382029977871
16077,Power County ,ID,16,7681,2020-06-02,0,0.0
16079,Shoshone County ,ID,16,12882,2020-06-02,0,0.0
16081,Teton County ,ID,16,12142,2020-06-02,0,0.0
16083,Twin Falls County ,ID,16,86878,2020-06-02,23,264.7390593706117
16085,Valley County ,ID,16,11392,2020-06-02,0,0.0
16087,Washington County ,ID,16,10194,2020-06-02,0,0.0
0,Statewide Unallocated,MT,30,0,2020-06-02,2,inf
30001,Beaverhead County ,MT,30,9453,2020-06-02,0,0.0
30003,Big Horn County ,MT,30,13319,2020-06-02,0,0.0
30005,Blaine County ,MT,30,6681,2020-06-02,0,0.0
