countyFIPS,State,County Name_x,population,2020-06-07_deaths,2020-06-14_deaths,2020-06-21_deaths,2020-06-28_deaths,2020-07-05_deaths,2020-07-12_deaths,2020-07-19_deaths,2020-07-26_deaths,2020-08-02_deaths,2020-08-09_deaths,2020-08-16_deaths,2020-08-23_deaths,2020-08-30_deaths,2020-09-06_deaths,2020-09-13_deaths,2020-09-20_deaths,2020-09-27_deaths,2020-10-04_deaths,2020-10-11_deaths,2020-10-18_deaths,2020-10-25_deaths,2020-11-01_deaths,2020-11-08_deaths,2020-11-15_deaths,2020-11-22_deaths,2020-11-29_deaths,2020-12-06_deaths,2020-12-13_deaths,2020-12-20_deaths,2020-12-27_deaths,2021-01-03_deaths
6079,CA,San Luis Obispo County ,283111,24.6,0.0,0.0,0.0,5.0,11.0,19.0,18.0,36.0,19.0,26.0,13.0,4.0,19.0,5.0,16.0,19.0,1.0,6.0,0.0,2.0,12.0,1.0,10.0,5.0,24.0,41.0,58.0,112.0,109.0,147.0
6081,CA,San Mateo County ,766573,36.4,39.0,38.0,40.0,36.0,13.0,25.0,15.0,7.0,18.0,19.0,21.0,28.0,35.0,15.0,28.0,18.0,23.0,27.0,19.0,22.0,17.0,22.0,13.0,10.0,44.0,46.0,62.0,137.0,127.0,128.0
6083,CA,Santa Barbara County ,446499,38.0,19.0,43.0,55.0,30.0,47.0,41.0,66.0,70.0,54.0,71.0,62.0,53.0,36.0,40.0,14.0,10.0,13.0,9.0,26.0,26.0,19.0,12.0,12.0,11.0,17.0,13.0,32.0,43.0,42.0,154.0
6085,CA,Santa Clara County ,1927852,167.43333333333334,19.0,13.0,28.0,30.0,76.0,61.0,68.0,72.0,89.0,48.0,107.0,129.0,99.0,86.0,112.0,83.0,111.0,92.0,72.0,71.0,85.0,112.0,85.0,120.0,133.0,214.0,366.0,569.0,860.0,1013.0
6087,CA,Santa Cruz County ,273213,23.633333333333333,0.0,6.0,1.0,0.0,0.0,1.0,6.0,0.0,10.0,8.0,3.0,0.0,0.0,2.0,12.0,14.0,14.0,45.0,29.0,21.0,3.0,0.0,6.0,15.0,48.0,82.0,87.0,121.0,81.0,94.0
6089,CA,Shasta County ,180080,23.6,3.0,0.0,0.0,11.0,10.0,7.0,12.0,2.0,7.0,7.0,0.0,5.0,2.0,1.0,13.0,27.0,50.0,27.0,20.0,6.0,17.0,24.0,13.0,35.0,58.0,65.0,58.0,35.0,87.0,106.0
6091,CA,Sierra County ,3005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6093,CA,Siskiyou County ,43539,2.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,13.0,8.0,7.0,14.0,9.0
6095,CA,Solano County ,447643,26.866666666666667,7.0,0.0,1.0,13.0,22.0,21.0,39.0,22.0,24.0,25.0,36.0,34.0,23.0,25.0,64.0,45.0,27.0,12.0,1.0,14.0,14.0,21.0,9.0,16.0,42.0,53.0,34.0,41.0,53.0,68.0
6097,CA,Sonoma County ,494336,45.3,0.0,0.0,7.0,21.0,29.0,26.0,32.0,66.0,66.0,80.0,85.0,64.0,100.0,98.0,47.0,40.0,4.0,21.0,21.0,45.0,28.0,49.0,30.0,35.0,28.0,26.0,27.0,56.0,92.0,136.0
6099,CA,Stanislaus County ,550660,145.13333333333333,37.0,25.0,44.0,91.0,72.0,134.0,204.0,252.0,211.0,245.0,230.0,263.0,175.0,128.0,147.0,125.0,77.0,37.0,43.0,30.0,41.0,45.0,58.0,121.0,126.0,161.0,232.0,304.0,361.0,335.0
6101,CA,Sutter County ,96971,15.833333333333334,0.0,7.0,0.0,0.0,5.0,2.0,0.0,13.0,4.0,4.0,1.0,15.0,5.0,0.0,0.0,5.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,23.0,53.0,77.0,97.0,97.0,49.0
6103,CA,Tehama County ,65084,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,7.0,5.0,6.0,11.0,10.0,3.0,11.0,29.0,28.0,17.0,22.0,12.0,26.0,23.0,7.0,12.0,19.0
6105,CA,Trinity County ,12285,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.0,2.0,5.0,0.0
6107,CA,Tulare County ,466195,95.8,35.0,81.0,92.0,95.0,112.0,107.0,38.0,104.0,122.0,101.0,106.0,70.0,73.0,48.0,27.0,72.0,30.0,37.0,35.0,44.0,20.0,20.0,48.0,81.0,98.0,92.0,157.0,276.0,316.0,337.0
6109,CA,Tuolumne County ,54478,6.766666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,25.0,3.0,6.0,9.0,22.0,23.0,29.0,33.0,18.0
6111,CA,Ventura County ,846006,77.13333333333334,31.0,23.0,45.0,41.0,29.0,78.0,65.0,62.0,77.0,36.0,77.0,84.0,77.0,74.0,42.0,51.0,36.0,11.0,19.0,27.0,15.0,12.0,21.0,55.0,74.0,69.0,82.0,186.0,364.0,451.0
6113,CA,Yolo County ,220500,26.466666666666665,0.0,0.0,2.0,10.0,11.0,28.0,42.0,30.0,12.0,25.0,19.0,30.0,8.0,0.0,6.0,1.0,4.0,10.0,2.0,17.0,20.0,40.0,39.0,32.0,46.0,70.0,88.0,103.0,60.0,39.0
6115,CA,Yuba County ,78668,4.2,0.0,0.0,0.0,1.0,10.0,3.0,0.0,5.0,2.0,0.0,2.0,5.0,0.0,7.0,7.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,26.0,26.0,13.0
