countyFIPS,County Name,State,StateFIPS,2020-06-07_cases,2020-06-14_cases,2020-06-21_cases,2020-06-28_cases,2020-07-05_cases,2020-07-12_cases,2020-07-19_cases,2020-07-26_cases,2020-08-02_cases,2020-08-09_cases,2020-08-16_cases,2020-08-23_cases,2020-08-30_cases,2020-09-06_cases,2020-09-13_cases,2020-09-20_cases,2020-09-27_cases,2020-10-04_cases,2020-10-11_cases,2020-10-18_cases,2020-10-25_cases,2020-11-01_cases,2020-11-08_cases,2020-11-15_cases,2020-11-22_cases,2020-11-29_cases,2020-12-06_cases,2020-12-13_cases,2020-12-20_cases,2020-12-27_cases,2021-01-03_cases,2020-06-07_deaths,2020-06-14_deaths,2020-06-21_deaths,2020-06-28_deaths,2020-07-05_deaths,2020-07-12_deaths,2020-07-19_deaths,2020-07-26_deaths,2020-08-02_deaths,2020-08-09_deaths,2020-08-16_deaths,2020-08-23_deaths,2020-08-30_deaths,2020-09-06_deaths,2020-09-13_deaths,2020-09-20_deaths,2020-09-27_deaths,2020-10-04_deaths,2020-10-11_deaths,2020-10-18_deaths,2020-10-25_deaths,2020-11-01_deaths,2020-11-08_deaths,2020-11-15_deaths,2020-11-22_deaths,2020-11-29_deaths,2020-12-06_deaths,2020-12-13_deaths,2020-12-20_deaths,2020-12-27_deaths,2021-01-03_deaths,population
13079,Crawford County ,GA,13,1,3,4,3,12,5,11,14,8,13,15,19,15,8,4,2,1,4,12,7,6,1,7,7,10,8,12,29,37,34,38,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12404
13081,Crisp County ,GA,13,2,4,16,10,24,19,26,11,15,11,41,13,38,29,18,18,20,34,22,24,10,23,19,15,1,21,18,82,70,41,70,1,2,1,1,0,1,0,1,0,0,1,0,0,0,2,0,0,1,1,4,0,0,1,2,0,0,0,0,1,0,1,22372
13083,Dade County ,GA,13,4,8,12,4,10,5,8,8,15,16,28,26,12,27,20,34,9,8,15,19,20,32,34,26,34,24,59,41,55,33,46,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,16116
13085,Dawson County ,GA,13,4,5,6,9,20,22,27,35,61,79,107,106,79,57,28,38,22,33,11,28,22,19,22,29,74,69,89,121,108,138,163,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,2,2,26108
13087,Decatur County ,GA,13,10,15,19,6,19,45,64,128,161,127,53,72,68,28,50,44,41,57,29,24,29,27,25,34,1,7,38,53,58,49,67,1,1,1,0,0,0,0,0,0,3,6,2,2,1,2,3,2,0,5,0,0,1,1,4,0,1,0,0,1,1,1,26404
13089,DeKalb County ,GA,13,236,299,406,710,1469,1336,1477,1427,1317,1447,1107,929,539,591,447,536,575,481,574,573,702,701,897,1059,1359,941,1686,2018,2030,2148,2730,4,20,20,6,2,7,8,19,18,12,27,14,20,17,24,10,13,9,9,10,5,8,5,17,4,7,13,12,7,20,7,759297
13091,Dodge County ,GA,13,1,1,13,25,21,28,26,11,11,32,32,34,36,24,21,33,25,13,20,62,72,45,28,22,18,9,12,31,31,22,60,0,0,0,0,0,0,0,0,1,0,0,2,1,2,1,2,1,0,0,2,1,4,10,0,7,1,2,1,2,2,0,20605
13093,Dooly County ,GA,13,7,0,5,6,15,5,4,7,11,10,12,13,6,13,9,20,13,8,5,8,10,10,8,9,19,9,16,30,27,22,26,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,1,1,13390
13095,Dougherty County ,GA,13,23,34,12,34,110,165,147,154,143,92,132,78,73,44,46,57,23,23,46,46,32,24,26,30,24,37,67,125,161,122,176,0,1,1,3,1,1,2,4,6,2,2,2,5,1,1,1,5,1,0,2,1,0,2,3,2,1,0,1,0,3,2,87956
13097,Douglas County ,GA,13,47,63,72,149,225,307,323,324,260,318,239,155,125,96,100,90,110,121,167,107,121,138,162,138,241,211,327,416,443,436,606,0,3,7,1,0,3,2,5,3,2,7,4,2,3,1,1,0,0,1,1,1,1,4,2,2,1,4,9,1,1,1,146343
13099,Early County ,GA,13,8,4,2,5,15,30,16,5,20,14,23,15,11,22,15,23,24,20,6,10,21,8,11,21,14,11,7,28,18,25,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,10190
13101,Echols County ,GA,13,28,13,14,9,2,12,11,7,0,7,4,4,4,4,0,1,1,2,1,0,3,0,0,3,5,5,23,13,9,7,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4006
13103,Effingham County ,GA,13,3,8,13,28,73,84,116,133,98,96,96,123,108,119,118,85,63,67,89,94,88,86,49,53,68,59,49,68,85,81,137,0,0,0,0,0,0,0,0,0,1,3,9,2,3,2,2,0,3,2,0,1,1,0,0,2,1,0,1,0,1,0,64296
13105,Elbert County ,GA,13,5,5,7,7,15,68,52,48,41,35,27,36,43,53,40,37,51,60,10,29,8,17,47,27,34,48,30,58,72,36,57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,3,0,0,2,4,0,2,2,3,1,2,0,0,19194
13107,Emanuel County ,GA,13,4,15,19,40,41,64,49,67,100,85,80,68,99,72,85,78,54,55,32,29,32,21,35,11,7,9,15,20,26,47,92,0,0,0,1,0,0,0,1,3,2,5,5,3,1,4,2,1,2,2,2,0,2,0,4,0,1,0,0,0,2,0,22646
