countyFIPS,County Name,State,StateFIPS,2020-06-07_cases,2020-06-14_cases,2020-06-21_cases,2020-06-28_cases,2020-07-05_cases,2020-07-12_cases,2020-07-19_cases,2020-07-26_cases,2020-08-02_cases,2020-08-09_cases,2020-08-16_cases,2020-08-23_cases,2020-08-30_cases,2020-09-06_cases,2020-09-13_cases,2020-09-20_cases,2020-09-27_cases,2020-10-04_cases,2020-10-11_cases,2020-10-18_cases,2020-10-25_cases,2020-11-01_cases,2020-11-08_cases,2020-11-15_cases,2020-11-22_cases,2020-11-29_cases,2020-12-06_cases,2020-12-13_cases,2020-12-20_cases,2020-12-27_cases,2021-01-03_cases,2020-06-07_deaths,2020-06-14_deaths,2020-06-21_deaths,2020-06-28_deaths,2020-07-05_deaths,2020-07-12_deaths,2020-07-19_deaths,2020-07-26_deaths,2020-08-02_deaths,2020-08-09_deaths,2020-08-16_deaths,2020-08-23_deaths,2020-08-30_deaths,2020-09-06_deaths,2020-09-13_deaths,2020-09-20_deaths,2020-09-27_deaths,2020-10-04_deaths,2020-10-11_deaths,2020-10-18_deaths,2020-10-25_deaths,2020-11-01_deaths,2020-11-08_deaths,2020-11-15_deaths,2020-11-22_deaths,2020-11-29_deaths,2020-12-06_deaths,2020-12-13_deaths,2020-12-20_deaths,2020-12-27_deaths,2021-01-03_deaths,population
2290,Yukon-Koyukuk Census Area ,AK,2,1,1,2,2,2,7,19,42,47,53,57,69,74,72,77,81,83,83,92,101,108,120,127,135,156,177,188,198,202,215,218,0,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,5230
13001,Appling County ,GA,13,187,205,220,254,290,344,417,491,594,671,789,853,885,931,960,1007,1028,1061,1106,1130,1159,1179,1194,1208,1220,1231,1248,1293,1359,1408,1508,13,13,13,14,14,14,15,16,16,19,19,21,23,24,26,26,28,30,34,35,36,38,38,38,38,38,40,41,41,42,43,18386
13003,Atkinson County ,GA,13,60,76,96,137,162,195,227,267,293,319,352,379,405,416,432,435,441,448,457,471,481,486,492,501,513,524,538,561,584,619,654,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,5,6,6,7,8,9,9,9,9,9,9,9,8165
13005,Bacon County ,GA,13,144,176,200,227,281,306,345,382,415,437,472,488,516,537,560,592,597,604,614,623,634,637,644,649,661,663,666,692,726,784,841,3,3,4,4,4,5,5,5,6,8,8,8,8,10,10,10,14,14,14,14,16,16,17,18,19,20,20,20,21,21,21,11164
13007,Baker County ,GA,13,36,36,36,43,43,44,45,52,58,63,71,71,71,72,73,78,84,84,85,87,91,92,99,102,103,107,108,115,119,127,132,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,3038
13009,Baldwin County ,GA,13,388,428,445,480,568,646,738,840,965,1048,1168,1335,1652,1797,1912,2056,2109,2145,2196,2245,2300,2337,2373,2423,2469,2522,2564,2642,2725,2833,2970,27,31,32,33,34,35,35,37,38,39,44,46,50,53,55,55,56,58,61,63,64,65,66,68,68,69,69,71,70,72,72,44890
13011,Banks County ,GA,13,90,108,114,130,144,156,185,205,242,271,301,334,370,405,433,469,482,503,525,540,552,574,596,643,701,758,827,924,1028,1094,1183,0,0,0,0,1,1,3,3,3,4,6,6,6,6,6,7,8,8,8,8,8,8,9,9,11,12,12,12,17,18,19,19234
13013,Barrow County ,GA,13,347,385,422,466,535,634,760,918,1112,1289,1433,1585,1725,1886,1971,2086,2174,2274,2381,2479,2570,2672,2759,2854,3026,3206,3442,3796,4176,4565,5079,20,23,25,25,25,26,29,32,32,32,33,36,37,41,43,46,47,47,47,50,50,51,55,56,56,57,58,60,63,65,66,83240
13015,Bartow County ,GA,13,522,546,602,672,774,962,1138,1354,1607,1868,2057,2240,2426,2557,2677,2801,2910,3007,3149,3350,3571,3714,3854,4047,4273,4481,4776,5269,5703,6216,6790,39,39,39,42,42,44,46,51,60,62,64,66,70,74,77,82,85,88,91,92,94,96,96,98,99,101,102,104,105,111,121,107738
13017,Ben Hill County ,GA,13,90,104,122,156,185,230,266,302,346,436,535,597,619,666,700,738,772,807,830,846,870,887,901,909,920,943,982,1060,1125,1178,1233,1,1,1,1,1,1,1,1,3,4,7,8,13,17,18,20,24,26,27,32,33,34,34,35,35,35,35,35,36,36,36,16700
13019,Berrien County ,GA,13,59,70,95,113,135,173,201,228,261,295,337,363,379,410,418,438,449,461,468,478,490,503,507,517,551,585,626,656,716,763,816,0,0,0,0,0,0,0,0,0,0,1,3,6,10,11,11,12,12,12,12,13,14,15,17,17,17,18,18,19,20,20,19397
13021,Bibb County ,GA,13,508,535,606,745,1231,1672,2201,2689,3150,3616,4061,4524,5375,5527,5748,5954,6053,6136,6295,6458,6576,6707,6824,7006,7161,7346,7628,8091,8524,9046,9640,30,35,37,38,41,43,44,53,61,68,83,98,119,139,151,157,170,177,188,188,193,200,204,213,217,218,224,229,234,236,240,153159
13023,Bleckley County ,GA,13,50,52,54,58,73,88,102,116,132,227,279,313,349,398,417,426,433,443,465,499,511,514,517,531,543,548,561,578,605,623,651,0,0,1,1,1,1,1,3,3,9,10,12,16,17,19,19,21,21,21,21,27,27,27,28,29,30,30,30,30,30,30,12873
13025,Brantley County ,GA,13,62,69,74,85,111,142,171,200,224,249,272,289,304,317,325,342,344,351,374,404,445,473,490,501,523,545,559,589,611,645,680,2,2,2,2,3,3,3,3,4,5,8,8,8,8,8,10,10,10,11,12,13,13,13,14,15,18,18,18,18,18,18,19109
13027,Brooks County ,GA,13,82,96,118,145,184,224,271,317,371,412,432,452,476,484,497,510,520,526,530,544,552,553,554,558,566,592,650,680,726,752,785,8,10,11,11,11,11,12,13,15,17,18,20,21,24,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,27,15457
13029,Bryan County ,GA,13,78,86,96,116,166,255,363,467,551,657,732,786,855,908,987,1059,1147,1175,1213,1260,1294,1309,1337,1351,1394,1436,1484,1559,1633,1709,1792,5,5,5,5,5,5,5,6,7,8,8,9,9,9,9,11,11,11,13,14,14,16,16,16,16,16,16,16,17,17,18,39627
